Index,Organization Id,Website,Country,Description,Founded,Industry,Number of employees,Name
1,cFcFbaBfd5b990c,http://www.ford.com/,Bhutan,Adaptive heuristic customer loyalty,2014,Luxury Goods / Jewelry,9003,Ochoa Ltd
2,fADcDdFde731F70,http://weeks.com/,Maldives,Devolved solution-oriented infrastructure,1974,Higher Education / Acadamia,2610,Koch Inc
3,32756Aa0D8FDB49,http://shah.com/,Montserrat,Switchable grid-enabled infrastructure,1992,Primary / Secondary Education,3616,Mills-Bauer
4,3B07feDEB8Bc558,https://ballard.com/,Bermuda,Front-line 5thgeneration complexity,2001,Apparel / Fashion,6725,Parks and Sons
5,D8CFfECbD477e3A,https://www.dodson-roth.info/,Malaysia,Reduced bifurcated architecture,1989,Health / Fitness,9480,Jordan PLC
6,d87613D3cc6606a,http://whitehead-holt.com/,Myanmar,Customer-focused tertiary task-force,1987,Consumer Goods,3034,Fisher Ltd
7,3Ad2F87CEa00e57,https://parrish-valdez.info/,Falkland Islands (Malvinas),Vision-oriented human-resource product,2007,Computer Games,1809,Irwin-Hernandez
8,Bf16E476adFFa5f,http://nichols.com/,Northern Mariana Islands,De-engineered discrete solution,1995,Individual / Family Services,2830,Blackwell and Sons
9,3FbaEcB664019C6,https://www.rios.org/,Ethiopia,Exclusive user-facing extranet,1984,Semiconductors,3931,Moody Inc
10,734D2A9A5f60d02,https://huynh-lindsey.com/,South Georgia and the South Sandwich Islands,Extended even-keeled knowledgebase,1983,Aviation / Aerospace,2978,Morse and Sons
11,bb4d0F6B70Bf8d8,http://www.villa.com/,Tanzania,Mandatory directional extranet,1973,Mining / Metals,3044,"Farrell, Valenzuela and Duran"
12,7AcAfcdD96BF194,https://www.mcconnell-robertson.net/,Antigua and Barbuda,User-centric bi-directional project,2010,Banking / Mortgage,8664,Rowe PLC
13,9A7dd3a31F0E74b,https://nicholson-mosley.com/,Georgia,Realigned discrete flexibility,1982,Medical Equipment,5881,"Cunningham, Ayers and Vaughn"
14,70c35d6Ae0C6eBe,https://guzman-holden.com/,Cameroon,Persistent cohesive emulation,1992,Glass / Ceramics / Concrete,9345,Stevens Group
15,bB1dE0f35345daa,http://www.walsh-mcconnell.com/,Qatar,Organic heuristic groupware,1973,Broadcast Media,1382,"Luna, Lowe and Steele"
16,DeE907A18faACca,https://www.mccullough-pitts.com/,Christmas Island,Enhanced 6thgeneration implementation,2021,Fishery,8030,"Reed, Pollard and Massey"
17,0d1fC9c1fe2E1E9,https://www.reyes-gamble.net/,Marshall Islands,Virtual attitude-oriented algorithm,1978,Public Relations / PR,8690,Dominguez Group
18,E2a863eAC6d3cCd,https://www.chapman.com/,Peru,Programmable radical hardware,1989,Construction,8766,Cisneros PLC
19,BEF5Ba74aB25f31,http://hooper.com/,Monaco,Mandatory maximized protocol,2013,Maritime,182,Lawson-Carpenter
20,32e5DEfcbaA73bD,https://mckee-faulkner.info/,Portugal,Proactive context-sensitive adapter,2009,Market Research,7089,Santos-Fleming
21,5493Ad19DfDbaD1,http://www.ingram-stark.com/,Korea,Function-based eco-centric artificial intelligence,1985,Apparel / Fashion,8820,Nash Inc
22,41C30DdAf5EBBfE,http://burgess-bautista.com/,Kuwait,Synergized empowering encoding,1986,Online Publishing,8480,Solis Inc
23,db18df4ecAd18AF,https://moody.com/,Turkey,Universal neutral intranet,1986,Wireless,1879,Allison-Preston
24,0Da9eC8FcD3eA19,https://young-pena.info/,Taiwan,Ergonomic 6thgeneration application,2012,Media Production,1193,"Norris, Frey and Meyer"
25,59FbDAAFBB3Df6b,http://christian.com/,Nicaragua,Optimized full-range framework,1987,Accounting,703,Rose Group
26,d1EC0d43df7613F,https://green-huang.com/,Dominican Republic,Programmable responsive website,1982,Import / Export,6384,"Monroe, Bennett and Harrison"
27,1ab360ac5523e0D,http://www.conway.com/,New Caledonia,Upgradable asymmetric collaboration,2011,Retail Industry,104,Bryan Inc
28,FFB3d5FABc2e3E1,https://www.huynh-klein.com/,Cote d'Ivoire,Right-sized actuating initiative,1980,Logistics / Procurement,2827,Boyer-Duncan
